"借据流水号","客户编号","客户名称","业务品种","是否表外","起始日期","到期日期","年利率","放款金额","借据余额","附加担保方式","业务品种大类","逾期天数","五级分类","经办人","业务品种细分","核心企业名称","组织机构证注册地","营业执照证注册地","统一社会信息证注册地","注册地址","利率调整周期","下一结息日","所属部门HR","终结日期","还款金额","ECIF客户号"
"2026013000000038","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2026-01-30,2027-01-25,6,155178.41,155178.41,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2027-01-25,"供应链金融部",,0E-20,"200001521312"
"2025122300000039","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-23,2026-12-17,6,111957.99,111957.99,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-17,"供应链金融部",,0E-20,"200001521312"
"2025112600000040","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-11-26,2026-11-20,6,122649.74,122649.74,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-11-20,"供应链金融部",,0E-20,"200001521312"
"2025121700000049","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-17,2026-12-11,6,122997.59,122997.59,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-11,"供应链金融部",,0E-20,"200001521312"
"2025121200000043","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-12,2026-12-07,6,81179.76,81179.76,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-07,"供应链金融部",,0E-20,"200001521312"
"2025071500000023","2023022200000008","无锡市岁丰新材料有限公司","反向保理","表内",2025-07-15,2026-07-15,5,296340,296340,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","江苏省无锡市宜兴市","",2026-07-15,"公司业务三部",,0E-20,"320015338194"
"2026011600000039","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2026-01-16,2027-01-16,5,2876274.36,2876274.36,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2027-01-16,"公司业务三部",,0E-20,"320007969112"
"2025120800000046","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-08,2026-12-03,6,44337.53,44337.53,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-03,"供应链金融部",,0E-20,"200001521312"
"2025121100000036","2022031500000051","上海万博瑞实业有限公司","普通流动资金贷款","表内",2025-12-11,2026-03-11,6.1,264790.6,264790.6,"","一般贷款",0,"1-正常","郑天宁","现货业务","上海中钢供应链有限公司","上海市宝山区","上海市宝山区","上海市宝山区","上海市宝山区","",2026-03-11,"公司业务三部",,0E-20,"310013218876"
"2025071500000024","2023041100000010","浙江联飞光纤光缆有限公司","反向保理","表内",2025-07-15,2026-07-15,5,480128,480128,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","浙江省杭州市临安区","浙江省杭州市临安区","浙江省杭州市临安区","浙江省杭州市临安区","",2026-07-15,"公司业务三部",,0E-20,"320015607786"
