"借据流水号","客户编号","客户名称","业务品种","是否表外","起始日期","到期日期","年利率","放款金额","借据余额","附加担保方式","业务品种大类","逾期天数","五级分类","经办人","业务品种细分","核心企业名称","组织机构证注册地","营业执照证注册地","统一社会信息证注册地","注册地址","利率调整周期","下一结息日","所属部门HR","终结日期","还款金额","ECIF客户号"
"PJ20251126000015","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"2025050900000022","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2025-05-09,2026-05-09,5,796061.08,796061.08,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2026-05-09,"公司业务三部",,0E-20,"320007969112"
"2025051200000039","2021032500000665","江苏金信线缆有限公司","反向保理","表内",2025-05-12,2026-05-12,5,495546.4,495546.4,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","江苏省淮安市金湖县","",2026-05-12,"公司业务三部",,0E-20,"320007969112"
"2025112400000036","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-11-24,2026-11-19,6,119711.29,119711.29,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-11-19,"供应链金融部",,0E-20,"200001521312"
"2026010600000040","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2026-01-06,2026-12-31,6,123695.73,123695.73,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-31,"供应链金融部",,0E-20,"200001521312"
"2025091700000030","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-09-17,2026-09-11,6,60442.28,60442.28,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-09-11,"供应链金融部",,0E-20,"200001521312"
"2025062400000022","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-06-24,2026-06-18,6,361915.08,361915.08,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-06-18,"供应链金融部",,0E-20,"200001072704"
"2025042900000032","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-29,2026-04-24,6,125968.57,125968.57,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-24,"供应链金融部",,0E-20,"200001521312"
"2025121200000042","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-12,2026-12-07,6,117273.95,117273.95,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-07,"供应链金融部",,0E-20,"200001521312"
"2025062700000020","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-06-27,2026-06-21,6,120029.44,120029.44,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-06-21,"供应链金融部",,0E-20,"200001072704"
"2025042200000014","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-22,2026-04-17,6,375276.31,375276.31,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-17,"供应链金融部",,0E-20,"200001521312"
"2025112600000040","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-11-26,2026-11-20,6,122649.74,122649.74,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-11-20,"供应链金融部",,0E-20,"200001521312"
"2025122300000039","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-23,2026-12-17,6,111957.99,111957.99,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-17,"供应链金融部",,0E-20,"200001521312"
"2025042200000013","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-22,2026-04-17,6,217351.38,217351.38,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-17,"供应链金融部",,0E-20,"200001521312"
"2025042900000031","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-29,2026-04-24,6,123967.28,123967.28,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-24,"供应链金融部",,0E-20,"200001521312"
"2025071400000027","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-07-14,2026-07-05,6,126394.31,126394.31,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-07-05,"供应链金融部",,0E-20,"200001072704"
"2025082900000031","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-08-29,2026-08-24,6,163886.63,163886.63,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-08-24,"供应链金融部",,0E-20,"200001521312"
"2026010600000038","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2026-01-06,2026-12-31,6,110505.4,110505.4,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-31,"供应链金融部",,0E-20,"200001521312"
"2025051500000020","2018060800000007","安徽众乘物资有限公司","反向保理","表内",2025-05-15,2026-05-10,6,7410.55,7410.55,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","安徽省合肥市庐阳区","安徽省合肥市庐阳区","安徽省合肥市庐阳区","安徽省合肥市","",2026-05-10,"供应链金融部",,0E-20,"200001805176"
"2025070100000043","2019061800000060","中海腾达（北京）物资有限公司","反向保理","表内",2025-07-01,2026-06-25,6,153385.93,153385.93,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","北京市房山区","北京市房山区","北京市房山区","北京市房山区","",2026-06-25,"供应链金融部",,0E-20,"200002480813"
"2025092900000038","2019061800000060","中海腾达（北京）物资有限公司","反向保理","表内",2025-09-29,2026-09-24,6,118274.11,118274.11,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","北京市房山区","北京市房山区","北京市房山区","北京市房山区","",2026-09-24,"供应链金融部",,0E-20,"200002480813"
