"借据流水号","客户编号","客户名称","业务品种","是否表外","起始日期","到期日期","年利率","放款金额","借据余额","附加担保方式","业务品种大类","逾期天数","五级分类","经办人","业务品种细分","核心企业名称","组织机构证注册地","营业执照证注册地","统一社会信息证注册地","注册地址","利率调整周期","下一结息日","所属部门HR","终结日期","还款金额","ECIF客户号"
"PJ20250925000008","2017010600000497","上海吉恒贸易有限公司","银行承兑汇票","表外",2025-09-25,2026-03-25,100,30000000,30000000,"","票据",0,"1-正常","张子龙","","","上海市浦东新区","上海市浦东新区","上海市青浦区","上海市青浦区","",,"供应链金融部",,0E-20,"200000186489"
"2025062400000023","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-06-24,2026-06-18,6,129866.06,129866.06,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-06-18,"供应链金融部",,0E-20,"200001072704"
"2025052900000030","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-29,2026-05-21,6,119572.36,119572.36,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-21,"供应链金融部",,0E-20,"200001072704"
"2025052600000026","2021021000000444","安徽维尔特仪表线缆有限公司","反向保理","表内",2025-05-26,2026-05-26,5,877084.54,877084.54,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","安徽省滁州市天长市","",2026-05-26,"公司业务三部",,0E-20,"320007801357"
"2025012100000008","2021032600000645","马弗橡塑（镇江）有限公司","反向保理","表内",2025-01-21,2026-01-21,5,1663603.68,1663603.68,"","贸易融资",0,"1-正常","尹筱玲（客户经理）","线上供应链-瑞e保","远东智慧能源股份有限公司","江苏省镇江市京口区","江苏省镇江市京口区","江苏省镇江市京口区","江苏省镇江市京口区","",2026-01-21,"公司业务三部",,0E-20,"320007968910"
"2025030800000001","2021081900000275","陕西汇瀚贸易有限公司","反向保理","表内",2025-03-08,2026-03-02,6,120883.92,120883.92,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","",2026-03-02,"供应链金融部",,0E-20,"320010366676"
"2025031200000027","2017120500000005","河南泰仁商贸有限公司","反向保理","表内",2025-03-12,2026-03-07,6,122331.4,122331.4,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市","",2026-03-07,"供应链金融部",,0E-20,"200001059254"
"2025031000000012","2017120500000005","河南泰仁商贸有限公司","反向保理","表内",2025-03-10,2026-03-05,6,260607.57,260607.57,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市","",2026-03-05,"供应链金融部",,0E-20,"200001059254"
"2025052900000033","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-29,2026-05-21,6,122850.83,122850.83,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-21,"供应链金融部",,0E-20,"200001072704"
"PJ20251126000015","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"2025052300000020","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-23,2026-05-17,6,107029.07,107029.07,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-17,"供应链金融部",,0E-20,"200001072704"
"2025052000000029","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-20,2026-05-14,6,343890.58,343890.58,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-14,"供应链金融部",,0E-20,"200001072704"
"2025050900000047","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-05-09,2026-05-04,6,121130.42,121130.42,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-05-04,"供应链金融部",,0E-20,"200001521312"
"2025121700000048","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-17,2026-12-11,6,88596.74,88596.74,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-11,"供应链金融部",,0E-20,"200001521312"
"2025082900000032","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-08-29,2026-08-24,6,207014.51,207014.51,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-08-24,"供应链金融部",,0E-20,"200001521312"
"2025053000000029","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-30,2026-05-25,6,109927.67,109927.67,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-25,"供应链金融部",,0E-20,"200001072704"
"2025121700000049","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-17,2026-12-11,6,122997.59,122997.59,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-11,"供应链金融部",,0E-20,"200001521312"
"2025062500000022","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-06-25,2026-06-19,6,122955.02,122955.02,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-06-19,"供应链金融部",,0E-20,"200001521312"
"2025091700000029","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-09-17,2026-09-11,6,63226.17,63226.17,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-09-11,"供应链金融部",,0E-20,"200001521312"
"2025121200000043","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-12-12,2026-12-07,6,81179.76,81179.76,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-12-07,"供应链金融部",,0E-20,"200001521312"
"2025041700000013","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-17,2026-04-12,6,432876.68,432876.68,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-12,"供应链金融部",,0E-20,"200001521312"
"PJ20251126000016","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20251126000017","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"2025031900000005","2017120500000005","河南泰仁商贸有限公司","反向保理","表内",2025-03-19,2026-03-13,6,230898.58,230898.58,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市","",2026-03-13,"供应链金融部",,0E-20,"200001059254"
"2025031900000022","2018053000000005","西安源石物资有限公司","反向保理","表内",2025-03-19,2026-03-13,6,115379.21,115379.21,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-03-13,"供应链金融部",,0E-20,"200001697732"
"2025031900000020","2018053000000005","西安源石物资有限公司","反向保理","表内",2025-03-19,2026-03-13,6,189992.37,189992.37,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-03-13,"供应链金融部",,0E-20,"200001697732"
"2025050600000018","2018060800000007","安徽众乘物资有限公司","反向保理","表内",2025-05-06,2026-05-01,6,66640.46,66640.46,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","安徽省合肥市庐阳区","安徽省合肥市庐阳区","安徽省合肥市庐阳区","安徽省合肥市","",2026-05-01,"供应链金融部",,0E-20,"200001805176"
"2025041600000021","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-16,2026-04-11,6,123188.55,123188.55,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-11,"供应链金融部",,0E-20,"200001521312"
"2025111100000043","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-11-11,2026-11-06,6,131923.07,131923.07,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-11-06,"供应链金融部",,0E-20,"200001521312"
"2025040800000016","2018040900000180","陕西盛兴金属材料有限公司","反向保理","表内",2025-04-08,2026-04-03,6,506976.43,506976.43,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市未央区","陕西省西安市","",2026-04-03,"供应链金融部",,0E-20,"200001521312"
"2025052300000019","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-23,2026-05-17,6,120608.99,120608.99,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-17,"供应链金融部",,0E-20,"200001072704"
