"借据流水号","客户编号","客户名称","业务品种","是否表外","起始日期","到期日期","年利率","放款金额","借据余额","附加担保方式","业务品种大类","逾期天数","五级分类","经办人","业务品种细分","核心企业名称","组织机构证注册地","营业执照证注册地","统一社会信息证注册地","注册地址","利率调整周期","下一结息日","所属部门HR","终结日期","还款金额","ECIF客户号"
"PJ20250610000015","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-06-10,2025-12-10,100,5000000,5000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20250610000017","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-06-10,2025-12-10,100,5000000,5000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"2025031200000027","2017120500000005","河南泰仁商贸有限公司","反向保理","表内",2025-03-12,2026-03-07,6,122331.4,122331.4,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市管城回族区","河南省郑州市","",2026-03-07,"供应链金融部",,0E-20,"200001059254"
"PJ20250609000020","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-06-09,2025-12-09,100,5000000,5000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20250609000022","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-06-09,2025-12-09,100,5000000,5000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20251126000015","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-11-26,2026-05-26,100,10000000,10000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20250609000003","2017010600000497","上海吉恒贸易有限公司","银行承兑汇票","表外",2025-06-09,2025-12-09,100,15000000,15000000,"","票据",0,"1-正常","张子龙","","","上海市浦东新区","上海市浦东新区","上海市青浦区","上海市青浦区","",,"供应链金融部",,0E-20,"200000186489"
"2025052300000019","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-23,2026-05-17,6,120608.99,120608.99,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-17,"供应链金融部",,0E-20,"200001072704"
"2025052300000020","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-23,2026-05-17,6,107029.07,107029.07,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-17,"供应链金融部",,0E-20,"200001072704"
"2025052000000029","2017121900000025","西安航城物资有限公司","反向保理","表内",2025-05-20,2026-05-14,6,343890.58,343890.58,"","贸易融资",0,"1-正常","黄有凯","瑞e订","钰翔环保供应链管理（上海）有限公司","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市新城区","陕西省西安市","",2026-05-14,"供应链金融部",,0E-20,"200001072704"
"PJ20250610000013","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-06-10,2025-12-10,100,5000000,5000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
"PJ20250609000014","2016041400000004","上海惠复贸易有限公司","银行承兑汇票","表外",2025-06-09,2025-12-09,100,5000000,5000000,"","票据",0,"1-正常","吴一彬","","","上海市浦东新区","","上海市浦东新区","上海市浦东新区","",,"公司业务二部",,0E-20,"200000034689"
